ID,Ang_Vel_X,Ang_Vel_Y,Ang_Vel_Z,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z
2.19,0.00669783,0.00818097,0.000198106,-0.00769582,-0.00113924,9.79909
2.2,-0.00193482,0.0161509,0.00544766,-0.00280501,-0.0145076,9.79402
2.21,0.00439963,0.0015439,-4.88333e-05,-0.00379984,0.00629534,9.8029
2.22,0.00564263,-0.00332822,0.00631379,0.000396786,-0.00300121,9.79736
3.1,-0.00545841,0.00715293,0.00178491,0.00265212,-0.00136303,9.80371
3.11,-0.00157638,-0.00113103,-0.00351537,-0.00920046,-0.00219697,9.79885
3.12,-0.00219181,0.00247803,0.0115478,-0.00522849,-0.00320974,9.80504
3.13,-0.00777758,0.00542908,0.00769682,-0.00429965,0.00119774,9.80112
3.14,-0.0049289,-0.00527686,-0.00117306,-0.00742703,-0.00626665,9.80059
3.15,-0.00734366,0.0031934,-0.000208161,0.000400417,-0.00417459,9.78803
3.16,-0.00278391,-0.000142338,0.00547358,0.0102434,-0.00476571,9.80436
3.17,0.000486444,0.00530987,-0.00152971,-0.00139278,-0.000803646,9.79655
3.18,0.00257659,0.00254215,-0.00629487,-0.0134917,0.00543796,9.79599
3.19,0.00267804,-0.00412665,-0.00986269,0.00441914,-0.007167,9.80396
3.2,0.00330282,-0.00637068,0.000164488,0.00390968,0.00460691,9.80288
3.21,0.00100143,-0.00600162,0.0103401,-0.00550436,-0.00522258,9.80425
3.22,-0.00460755,-0.00245864,0.000457263,0.0122747,-0.0055652,9.80184
4.1,-0.00408661,0.0015305,-0.00218876,0.000809195,0.00307006,9.80056
4.11,-0.00382088,0.00336333,-0.00609256,-0.00303824,-0.00189235,9.79931
4.12,0.00251945,-0.00934008,-0.00462693,0.00380662,-0.00300619,9.791
4.13,0.000784323,0.00656399,-0.00581423,-0.00302074,0.00334673,9.7946
4.14,0.00214417,-0.000304024,-0.00084331,-0.00126418,-0.00423095,9.79809
4.15,0.00154897,0.00837251,0.000164957,9.1939e-05,-0.00287069,9.80342
4.16,-0.00408946,-0.000607945,0.00654991,0.00444862,-0.00569498,9.80744
4.17,0.00029476,0.00806521,0.00645928,-0.0116233,-0.00198252,9.79835
4.18,-0.00390039,-0.000291438,0.00342652,0.00343154,-0.00433236,9.80698
4.19,0.0027404,0.00751834,0.00863631,-0.00440614,-0.0101331,9.80064
4.2,0.00232234,0.00104891,0.0117488,-0.00760338,0.00308042,9.80378
4.21,0.00368884,0.00240095,-0.00391238,0.00365087,-0.00332242,9.79517
